URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# Taxon Acantha F,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-5BpKrqM/1/95024de4/X4/Ceratina%20acantha.F.lateral.1900967-X4.jpg,,,100%,image-web,,Lateral view,C. acantha ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-Z2vg5X3/0/8d1060e1/X4/Ceratina%20acantha.F.dorsal.1900967-X4.jpg,,,100%,image-web,,Dorsal view,C. acantha ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-HNWb8HG/0/335acd30/X4/Ceratina%20acantha.F.head.1900967-X4.jpg,,,100%,image-web,,Face,C. acantha ♀,,,,
# Taxon Arizonensis F,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-3WrdtmX/0/4ee3f90e/X4/Ceratina%20arizonensis.F.lateral.2128147-X4.jpg,,,100%,image-web,,Lateral view,C. arizonensis ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-tNPTXGX/0/b6bcb8b9/X4/Ceratina%20arizonensis.F.dorsal.2128151-X4.jpg,,,100%,image-web,,Dorsal view,C. arizonensis ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-rpnJbn7/0/bdf3052a/O/Ceratina%20arizonensis.F.%20head.dup.2128151.jpg,,,100%,image-web,,Face,C. arizonensis ♀,,,,
# Taxon Micheneri F,,,,,,,C.  ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-tZzrzWG/0/63dcbc41/X4/Ceratina%20micheneri.F.lateral.1917739-X4.jpg,,,100%,image-web,,Lateral view,C. micheneri ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-rFnNgsd/0/64be6b94/X4/Ceratina%20micheneri.F.dorsal.1917739-X4.jpg,,,100%,image-web,,Dorsal view,C. micheneri ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-dPZH5V5/0/db4d34a4/X4/Ceratina%20micheneri.F.head.1917739-X4.jpg,,,100%,image-web,,Face,C. micheneri ♀,,,,
# Taxon Nanula F,,,,,,,C.  ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-v4Rss8v/0/5ac68d31/X4/Ceratina%20nanula.F.lateral.2005748-X4.jpg,,,100%,image-web,,Lateral view,C. nanula ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-56TpmsV/0/ba176ea2/X4/Ceratina%20nanula.F.dorsal.2005748-X4.jpg,,,100%,image-web,,Dorsal view,C. nanula ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-8BnZHD7/0/1c072bdf/O/Ceratina%20nanula.F.head.2005748.jpg,,,100%,image-web,,Face,C. nanula ♀,,,,
# Taxon neomexicana F,,,,,,,C.  ♀,,,,
# Taxon neomexicana F,,,100%,image-web,,Lateral view,C.  ♀,,,,
# Taxon neomexicana F,,,100%,image-web,,Dorsal view,C.  ♀,,,,
# Taxon neomexicana F,,,100%,image-web,,Face,C.  ♀,,,,
# Taxon Pacifica F,,,,,,,C.  ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-Gj3Jn3d/0/e365bf2a/X4/Ceratina%20pacificum.F.lateral.1923864-X4.jpg,,,100%,image-web,,Lateral view,C. pacifica ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-tBhmVMg/0/5f7af0a6/X4/Ceratina%20pacificum.F.dorsal.1923864-X4.jpg,,,100%,image-web,,Dorsal view,C. pacifica ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-vsr7xg3/0/a9a7b07a/X4/Ceratina%20pacificum.F.head.1923864-X4.jpg,,,100%,image-web,,Face,C. pacifica ♀,,,,
# Taxon Tejonensis F,,,,,,,C.  ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-rQZq9Tq/0/baf39ed8/X4/Ceratina%20tejonensis.F.lateral.OSAC0001225-X4.jpg,,,100%,image-web,,Lateral view,C. tejonensis ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-3wTbf6T/0/87143d67/X4/Ceratina%20tejonensis.F.dorsal.OSAC0001225-X4.jpg,,,100%,image-web,,Dorsal view,C. tejonensis ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-gbxWzfV/0/b185670b/X4/Ceratina%20tejonensis.F.head.OSAC0001225-X4.jpg,,,100%,image-web,,Face,C. tejonensis ♀,,,,
# Taxon Sequoiae F,,,,,,,C.  ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-GB9StsD/0/9bb34c06/X4/Ceratina%20sequoiae.F.lateral.1921013-X4.jpg,,,100%,image-web,,Lateral view,C. sequoiae ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-x6BJRnV/0/1c29b57e/X5/Ceratina%20sequoiae.F.dorsal.1921013-X5.jpg,,,100%,image-web,,Dorsal view,C. sequoiae ♀,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-female/i-sCFDsw5/0/82fbf57d/O/Ceratina%20sequoiae.F.head.1921013.psd.jpg,,,100%,image-web,,Face,C. sequoiae ♀,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# Taxon Acantha M,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-vfzgBpj/0/31324801/X4/Ceratina%20acantha.M.lateral.1902318-X4.jpg,,,100%,image-web,,Lateral view,C. acantha ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-g7KQrXR/0/f763b1ef/X4/Ceratina%20acantha.M.dorsal.1902318-X4.jpg,,,100%,image-web,,Dorsal view,C. acantha ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-NZJKjGc/0/04db9ba4/O/Ceratina%20acantha.M.head.1902318.jpg,,,100%,image-web,,Face,C. acantha ♂ ,,,,
# Taxon Arizonensis M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-BxwgJQs/0/2b8eef6e/X4/Ceratina%20arizonensis.M.2116280-X4.jpg,,,100%,image-web,,Lateral view,C. arizonensis ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-sBTkqs3/0/727e8bb1/X4/Ceratina%20arizonensis.M.lateral.2116280-X4.jpg,,,100%,image-web,,Dorsal view,C. arizonensis ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-RLGG9QD/0/87a2b290/O/Ceratina%20arizonensis.M.head.2116280.jpg,,,100%,image-web,,Face,C. arizonensis ♂ ,,,,
# Taxon Micheneri M,,,,,,,C.  ♂ ,,,,
