Taxon,ThoraxColor,MesoplueralPits,VentralFacet,FacetHair,ApicalHair,VentralHair,EyePits,T6HairTuft,PronotalLobes,Clypeus,Size
C. acantha ♀,green,"Small, sparse",n/a,n/a,n/a,n/a,more,absent,dark,not hat,<5 | >5
C. arizonensis ♀,black,"Small, sparse",n/a,n/a,n/a,n/a,one,absent,ivory,not hat,<5
C. micheneri ♀,blue,"Large, dense",n/a,n/a,n/a,n/a,more,absent,dark,none,>5
C. nanula ♀,blue | green,Intermediate,n/a,n/a,n/a,n/a,more,absent,ivory,none,<5
C. neomexicana ♀,blue | green,"small, sparse | Intermediate",n/a,n/a,n/a,n/a,more,absent,,not hat,<5 | >5
C. pacifica ♀,blue | green,Intermediate,n/a,n/a,n/a,n/a,more,present,ivory,none,>5
C. sequoiae ♀,green,Distorted,n/a,n/a,n/a,n/a,more,absent,ivory,not hat,>5
C. tejonensis ♀,blue | green,"small, sparse | Intermediate",n/a,n/a,n/a,n/a,more,absent,dark,not hat,>5
C. acantha ♂ ,green,"Small, sparse",absent,absent,absent,present,more,n/a,dark,hat,<5 | >5
C. arizonensis ♂ ,black,"Small, sparse",present,absent,absent,present,one,n/a,ivory,hat,<5
C. micheneri ♂ ,blue,"Large, dense",present,absent,absent,present,more,n/a,dark,hat,>5
C. nanula ♂ ,blue | green,"Small, sparse",present,absent,present,present,more,n/a,ivory,hat,<5
C. neomexicana ♂ ,blue | green,"small, sparse | Intermediate",present,absent,absent,absent,more,n/a,ivory,hat,<5 | >5
C. pacifica ♂ ,blue | green,Intermediate,present,absent,absent,present,more,n/a,ivory,hat,>5
C. sequoiae ♂ ,blue | green,Distorted,present,absent,absent,present,more,n/a,ivory,hat,>5
C. tejonensis ♂ ,blue | green,"small, sparse | Intermediate",present,present,absent,absent,more,n/a,dark,hat,>5
